surface	norm	freq	text_count	pct_texts	texts	category
ჩემდა	ჩემდა	49	15	27.8	cyril-epiphany-homily|inventio-stephani-lucian|mrav-aghdgoma-kyrile|mrav-antipater-bostrensis-1|mrav-enkenia-2|mrav-john-baptist-decollatio-2|mrav-kharbeba-1|mrav-kharbeba-2|mrav-kharbeba-3|mrav-lazare|mrav-natlisgeba-1|mrav-shoba-athanasi|mrav-sinai-fathers-amonios|mrav-toma-chrysostom|proclus-hom-theotokos	REVIEW
ჯუარი	ჯუარი	44	14	25.9	mart-stepane|mrav-aghdgoma-kyrile|mrav-basili-1|mrav-basili-2|mrav-bzoba-severian|mrav-cross-vision|mrav-enkenia-1|mrav-epiphane-mary|mrav-exaltation-cross|mrav-lazare|mrav-martyrs-chrysostom-2|mrav-nails-inventio|mrav-shoba-athanasi|mrav-sulthmofenoba-1	REVIEW
წმიდათა	წმიდათა	40	13	24.1	ephr-markhva|mrav-aghdgoma-kyrile|mrav-aghdgoma-meletios|mrav-bzoba-iohannes|mrav-bzoba-severian|mrav-colophon-makari|mrav-cross-vision|mrav-departed-ephrem|mrav-forty-martyrs|mrav-natlisgeba-1|mrav-sinai-fathers-amonios|mrav-toma-chrysostom|proclus-hom-theotokos	REVIEW
კურთხეულ	კურთხეულ	40	12	22.2	inventio-stephani-lucian|mrav-antipater-bostrensis-1|mrav-bzoba-iohannes|mrav-bzoba-severian|mrav-dormition-1|mrav-dormition-2|mrav-kharbeba-2|mrav-kharbeba-3|mrav-lazare|mrav-sinai-fathers-amonios|mrav-timote-1|proclus-hom-theotokos	REVIEW
იშვა	იშვა	39	11	20.4	chrys-epiphany-homily|mart-stepane|mrav-aghdgoma-kyrile|mrav-antipater-bostrensis-1|mrav-dormition-1|mrav-epiphane-mary|mrav-kharbeba-2|mrav-kharbeba-3|mrav-shoba-athanasi|mrav-timote-1|proclus-hom-theotokos	REVIEW
ეკლესიაჲ	ეკლესიაი	35	12	22.2	chrys-epiphany-homily|mrav-aghdgoma-kyrile|mrav-basili-1|mrav-cross-vision|mrav-enkenia-1|mrav-enkenia-2|mrav-epiphane-mary|mrav-feristsvaleba|mrav-lazare|mrav-martyrs-chrysostom-3|mrav-sinai-fathers-amonios|mrav-timote-1	REVIEW
მათთა	მათთა	35	14	25.9	cyril-epiphany-homily|mrav-antipater-bostrensis-1|mrav-bzoba-iohannes|mrav-bzoba-meletios|mrav-bzoba-severian|mrav-enkenia-1|mrav-forty-martyrs|mrav-john-baptist-decollatio-2|mrav-kharbeba-2|mrav-martyrs-chrysostom|mrav-martyrs-chrysostom-2|mrav-natlisgeba-1|mrav-sinai-fathers-amonios|mrav-sulthmofenoba-2	REVIEW
მასვე	მასვე	34	12	22.2	inventio-stephani-lucian|mart-stepane|mrav-aghdgoma-kyrile|mrav-aghdgoma-meletios|mrav-antipater-bostrensis-1|mrav-bzoba-severian|mrav-chrysostom-jonah|mrav-feristsvaleba|mrav-kharbeba-2|mrav-kharbeba-3|mrav-lazare|mrav-sinai-fathers-amonios	REVIEW
გნებავს	გნებავს	33	13	24.1	cyril-epiphany-homily|inventio-stephani-lucian|mart-stepane|mrav-aghdgoma-kyrile|mrav-chrysostom-jonah|mrav-cross-vision|mrav-enkenia-1|mrav-forty-martyrs|mrav-john-baptist-decollatio|mrav-lazare|mrav-paul-martyrdom|mrav-sinai-fathers-amonios|mrav-toma-chrysostom	REVIEW
ისმინე	ისმინე	28	15	27.8	mart-stepane|mrav-aghdgoma-kyrile|mrav-antipater-bostrensis-1|mrav-basili-2|mrav-bzoba-severian|mrav-chrysostom-jonah|mrav-cross-vision|mrav-departed-ephrem|mrav-enkenia-1|mrav-enkenia-2|mrav-kharbeba-1|mrav-lazare|mrav-natlisgeba-okropiri|mrav-sulthmofenoba-2|mrav-timote-1	REVIEW
