xml_id	lemma	definition	source_siglum	source_id	cross_refs
lex.a	ა	დედრობითი სქესის სუფიქსი ძველი ქართულის გვიანდელ ტექსტებში			
lex.aqaveba	ა(ღ)ქავება	ოხრა, ბგერის გამოცემა, აღყივება	ი. ა.	abuladze1973	ოხრა
lex.aba	აბა				აბბა|აბა|ამბა|ანბა|ჰაბა
lex.aba_haba	აბა, ჰაბა	აბა, მაშ	ი. ა.	abuladze1973	
lex.abano	აბანო	საბანელი სახლი	ი. ა.	abuladze1973	
lex.abarmad_i	აბარმად-ი	მონასტრის ხელისუფალთაგანი	ა. შ.	shanidze1971	
lex.abba_aba_amba_anba	აბბა, აბა, ამბა, ანბა	მამა	ი. ა.	abuladze1973	აბა
lex.abezroba	აბეზრობა	განშორება, განდგომა	ი. ა.	abuladze1973	
lex.abma	აბმა				
lex.abramadi	აბრამადი	სალთხუცესი. მისი თანამდებობა	ქ. ც.	kartlis_tskhovreba	
lex.abrameani_abramiani	აბრამეანი, აბრამიანი	აბრაამის (აბრაჰამის) შთამომავალი; ადამიანი, კაცი	ი. ი.	imnaishvili	
lex.abjari	აბჯარი	აბჯრისა; საჭურველი, იარაღი	ი. ა.	abuladze1973	მეაბჯრე
lex.abjris_damabneveli	აბჯრის-დამაბნეველი	საჭურვლის, იარაღის გადამყრელი			ბნევა
lex.abjrismtvirtveli	აბჯრისმტვირთველი	წარჩინებულ მეომართა დამხმარე პირი, რომელიც მათ იარაღს ატარებდა. საქართველოს მეფის აბჯრისმტვირთველი ეზოსმოძღვარჩუხჩარეხი			
lex.agara	აგარა				აგარაკი
lex.agaraki	აგარაკი	მიწა, ადგილი; სახნავ-სათესი მიწა, საყანე ადგილი; ყანა			აგარა|მეაგარაკე|ქუეყანაჲ საქმარი|ველი
lex.agaraki_agara	აგარაკი, აგარა	ქუეყანაჲ საქმარი, დაბა, სოფელი, ყანა, ველი	ი. ა.	abuladze1973	მეაგარაკე|ქუეყანაჲ საქმარი
lex.agareani	აგარეანი	აბრაამის შთამომავალი აგარის ხაზით [აგარი აბრაამის ხარჭას ერქვა]	ი. ი.	imnaishvili	
lex.agebuleba	აგებულება	სხეული, ტანი, აღნაგობა, შედგენილობა	ი. ა.	abuladze1973	
lex.agva	აგვა	აწმენდა, აღება	ი. ა.	abuladze1973	გვა
lex.agzeba_agzebuli	აგზება, აგზებული		ი. ა.	abuladze1973	აღგზება|აგზება|აღგზნება|აგზნება
lex.agiaro	აგიარო		ი. ა.	abuladze1973	აღსაარება|აღსარება
lex.agna	აგნა		ი. ი.	imnaishvili	გებ-ა
lex.agrgvineba	აგრგჳნება	ახმაურება	ი. ა.	abuladze1973	გრგჳნვა
lex.agrilobda	აგრილობდა	ჩრდილს აყენებდა, ჰფარავდა	სხ.	misc	
lex.agrdzna	აგრძნა		ი. ი.	imnaishvili	გრძნობა
lex.aguri	აგური	გამომწვარი ალიზი	ი. ა.	abuladze1973	
lex.agvisto_agvistosi	აგჳსტო, აგჳსტოსი	აგვისტოს თვე			
lex.adama_adamanti_adamati_andamatia	ადამა; ადამანტი; ადამატი; ანდამატია	ადამანტიანი, ადამას, ანტის, ალმასი	ი. ა.	abuladze1973	ადამანტი|ადამატი|ანდამატია
lex.adamanti_adamati	ადამანტი, ადამატი		ი. ა.	abuladze1973	ადამა; ადამანტი; ადამატი; ანდამატია
lex.adamantiani_adamantine	ადამანტიანი, ადამანტინე	ადამანტი, ანდამატისა	ი. ა.	abuladze1973	
lex.adameani	ადამეანი	ადამიანი, ადამის ჩამომავალი			
lex.adari	ადარი	იგრიკა, ებრაელთა მეექვსე თვე – მარტი	ი. ა.	abuladze1973	
lex.adgid_geba	ადგიდ-გება	განმტკიცება, დამყარება, მოწესრიგება	ი. ა.	abuladze1973	გებ-ა
lex.adgil_tsema	ადგილ(ის)-ცემა	დათმობა, მიშვება	ი. ა.	abuladze1973	ცემა|ცემა თავსა თჳსსა
lex.adgil_adgid	ადგილ-ადგიდ	ალაგ-ალაგ. ადგილითი-ადგილად – ადგილიდან ადგილზე	ი. ი.	imnaishvili	
lex.adgilad	ადგილად	თჳს, გამო	ი. ა.	abuladze1973	
lex.adgilad_adgiladi	ადგილად-ადგილადი	ადგილობრივი	ზ. ს.	sarjveladze1995	
lex.adgiladi	ადგილადი	ადგილობრივი	ზ. ს.	sarjveladze1995	
lex.adgilebri	ადგილებრი	ადგილისა	ზ. ს.	sarjveladze1995	
lex.adgili	ადგილი	მოადგილი	ი. ა.	abuladze1973	ადგილობანი|მოადგილი|სახე
lex.adgiliti_adgilad	ადგილითი ადგილად	ერთი ადგილიდან მეორე ადგილზე, სხვადასხვა ადგილში	ი. ი.	imnaishvili	
lex.adgilis_mtsveli	ადგილის-მცველი	მოადგილე	ქ. ც.	kartlis_tskhovreba	
lex.adgilis_pqroba	ადგილის-პყრობა	დადგრომა, შედომა, შეჩერება	ი. ა.	abuladze1973	პყრობა|პყრობილი
lex.adgilis_tsema	ადგილის-ცემა	(გზიდან) ჩამოცლა, დროება, (თავის ნებაზე) გაშვება, დანებება(ა), მარტო დატოვება	ი. ი.	imnaishvili	
lex.adgilobani	ადგილობანი	ადგილი; საცხოვ რისი, სამყოფი	ი. ა.	abuladze1973	ადგილი
lex.adgilobiti	ადგილობითი	ადგილობრივი	ზ. ს.	sarjveladze1995	
lex.adgoma	ადგომა	აღდგომა, ადგომა			აღდგომა
lex.advil_advilad	ადვილ, ადვილად	არაძნელად, იოლად, მსუბუქად	ი. ა.	abuladze1973	
lex.advili	ადვილი	არაძნელი, იოლი, წრფელი	ი. ა.	abuladze1973	უადვილე|უადვილესი
lex.adre	ადრე	მალე, სწრაფად, მაშინვე, მსთუად, მეყსეულად			უადრე|უადრეს
lex.adre_migheba	ადრე-მიღება	ადრე აღსრულება; მოსწრაფედ წარტაცება	ი. ა.	abuladze1973	მიღებული
lex.adre_qopa	ადრე-ყოფა	სწრაფა	ი. ა.	abuladze1973	ყოფა
lex.adreve	ადრევე	წინათვე	ი. ა.	abuladze1973	
lex.adritgan	ადრითგან	ადრიდანვე	ი. ა.	abuladze1973	
lex.aelveba	აელვება	ბრწყინვა	ი. ა.	abuladze1973	ელვა
lex.aeri_haeri	აერი, ჰაერი	ამინდი; ჰაერი; ქარი	ი. ა.	abuladze1973	ჰაერი
lex.aeroani	აერო(ვ)ანი	(τό ἀίθριον) მშვენიერი, ლამაზი, ბრწყინვალე	ი. ი.	imnaishvili	
lex.aerovani	აეროვანი	უსართულო	ი. ა.	abuladze1973	
